Time,Ip,Iq,P,Q,Q/V_control,Freq,v_meas,vMult,P_PI_control,dPord,Pord,Pref,p_meas
0.0,0.4977,0.0,0.5,0.0,0.0,1.0,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.01,0.4977,0.0,0.4999,0.0,0.0,1.0,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.02,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.03,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.04,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.0499,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.0599,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.0699,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.08,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.09,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.1,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.11,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.12,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.13,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.14,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.15,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.16,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.17,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.18,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.19,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.2,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.2,0.4977,0.0,0.4999,0.0,0.0,0.9999,1.0046,1.0,0.5,0.5,0.5,0.5,0.5
0.21,0.5177,0.2391,0.1567,0.0724,0.0,0.9999,0.7299,1.0,0.5,0.5,0.5,0.5,0.5
0.22,0.5377,0.5384,0.1477,0.148,0.0,1.0009,0.5536,1.0,0.4992,0.4992,0.4999,0.5,0.5
0.23,0.5577,0.7017,0.142,0.1786,0.0,1.0022,0.4379,0.9169,0.4955,0.4955,0.4999,0.5,0.4999
0.24,0.5014,0.6716,0.1234,0.1653,0.0,1.0029,0.3632,0.5561,0.4912,0.4912,0.4999,0.5,0.4999
0.25,0.4031,0.5566,0.1001,0.1382,0.0,1.0032,0.318,0.3373,0.4867,0.4867,0.4999,0.5,0.4999
0.26,0.3045,0.4281,0.0771,0.1085,0.0,1.0031,0.2925,0.2046,0.4827,0.4827,0.4999,0.5,0.4999
0.27,0.2211,0.3145,0.057,0.0812,0.0,1.0027,0.2789,0.1241,0.4795,0.4795,0.4998,0.5,0.4999
0.28,0.1562,0.2241,0.0408,0.0585,0.0,1.0021,0.2721,0.0752,0.4775,0.4775,0.4998,0.5,0.4999
0.29,0.1081,0.1561,0.0284,0.041,0.0,1.0015,0.2687,0.0456,0.4765,0.4765,0.4997,0.5,0.4998
