Time,Ip,Iq,P,Q,Q/V_control,Freq,v_meas,vMult,P_PI_control,dPord,Pord,Pref,p_meas
0.01,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.02,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.03,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.04,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.0499,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.0599,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.0699,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.08,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.09,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.1,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.11,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.12,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.13,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.14,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.15,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.16,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.17,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.18,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.19,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.2,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.21,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.22,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.23,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.24,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.25,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.26,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.27,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.28,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.29,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.3,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.31,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.32,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.33,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.34,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.35,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.36,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.37,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.38,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.39,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.4,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.41,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.42,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.43,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.44,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.45,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.46,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.47,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.48,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.49,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.5,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.51,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.52,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.53,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.54,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.55,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.56,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.57,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.58,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.59,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.6,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.61,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.62,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.63,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.64,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.65,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.66,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.67,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.68,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.69,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.7,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.71,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.72,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.73,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.74,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.75,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.76,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.77,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.78,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.79,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.8,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.81,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.82,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.83,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.84,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.85,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.86,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.87,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.88,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.89,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.9,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
0.91,0.2366,0.0,0.2499,0.0,0.0,1.0,1.0562,1.0,0.25,0.25,0.25,0.25,0.25
